"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","11650","0","0","0","154.1","0","157.45","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","11700","46.25","57.7","46","57.7","57.7","57.7","17","149.8",".62","7650","75","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","11750","0","0","0","131.45","0","133.65","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","11800","42.95","43.95","26.25","35.05","26.25","35.05","4","35.52",".12","300","150","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","11850","0","0","0","111.9","0","112","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","11900","31","31","31","31","31","31","2","17.9",".05","150","150","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","11950","0","0","0","94.75","0","93.55","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12000","23.85","24","20.1","23.75","23.65","23.75","754","6798.7","12.7","166650","19650","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12050","0","0","0","79.9","0","77.7","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12100","0","0","0","18.05","18.05","70.7","0","0","0","75","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12150","0","0","0","67.05","0","64.2","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12200","0","0","0","25.25","25.25","58.2","0","0","0","75","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12250","0","0","0","55.95","0","52.7","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12300","0","0","0","225.2","0","47.65","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12350","0","0","0","49.4","0","43","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12400","0","0","0","16.6","16.6","38.75","0","0","0","225","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12500","8.5","8.5","8.5","8.5","8.5","8.5","1","9.38",".01","8850","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12600","0","0","0","198.75","0","25.25","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12700","0","0","0","247.75","0","20.2","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12800","0","0","0","207.95","0","16.1","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","12900","0","0","0","17","17","12.7","0","0","0","600","0","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","13000","3.3","5","1.55","2","2.1","2","1357","13232.64","1.89","68475","56475","10910.1"
"NIFTY","01-Jan-2019","28-Mar-2019","CE","13100","0","0","0","80.35","0","7.85","0","0","0","0","0","10910.1"
